geoid,county,rural,black,income,collegewhite,nodiploma,highschoolgrad,collegedegree,homeprice,whitecollar,early_late,privateschool,moved
1400000US37183052809,Wake,Rural,-15.98,4744,-0.24,-8.16009427,3.805504554,5.01367688,9400,14.1,-15.70091145,2.339566945,-18.04047839
1400000US37183052901,Wake,Rural,0.45,-8056,-1.4,4.974847304,-4.618540261,18.02786582,-27800,-5.1,-6.740906489,3.936465799,-10.67737229
1400000US37183052902,Wake,Rural,-0.47,-2816,3.55,-0.857698931,-0.262075959,-16.99088284,13500,3.8,-12.955802,2.877769217,-15.83357122
1400000US37183052903,Wake,Rural,1.35,-3224,7.33,2.758340015,-11.44347267,25.34555617,24800,-0.8,-12.635108,0.421455416,-13.05656341
1400000US37183052904,Wake,Rural,0.52,-6126,-1.71,2.224496038,-2.601876381,-21.00407485,-2300,2.5,-9.178694322,1.01139825,-10.19009257
1400000US37183053003,Wake,Urban,11.47,-1776,-0.56,-1.432362158,-5.749042062,-19.13413663,-1000,0.2,-25.99849771,0.767463763,-26.76596147
1400000US37183053004,Wake,Urban,0.74,-20591,-2.54,-2.040391848,7.461087145,27.33393015,-24100,-3.7,-30.49254865,-2.443512985,-28.04903567
1400000US37183053005,Wake,Urban,0.45,7907,1.73,1.448871552,7.695526129,-63.45740591,15800,-2.4,-18.45968581,-4.13097504,-14.32871077
1400000US37183053006,Wake,Urban,1.38,16267,10.41,0.751499477,-5.653707125,3.057736419,20300,-8.6,-13.58392087,1.017074479,-14.60099535
1400000US37183053007,Wake,Urban,0.05,31833,5.32,2.47246559,-11.75360527,40.8502953,58700,9.5,-11.49098022,4.874347617,-16.36532784
1400000US37183053008,Wake,Urban,3.28,18673,7.41,-3.098373467,-4.823361946,5.722416024,-16600,9.9,-18.77812155,-2.720422542,-16.05769901
1400000US37183053009,Wake,Urban,3.89,8264,6.46,-10.65390054,3.886193911,-20.57216644,39000,9.4,-21.86069277,1.306187417,-23.16688019
1400000US37183053105,Wake,Urban,4.59,9880,5.87,1.339029778,-9.879737876,4.007326726,35300,8.6,-7.345326279,4.512613349,-11.85793963
1400000US37183053106,Wake,Urban,-0.51,9601,-5.98,7.572837478,1.012454135,15.29130847,19200,2.2,-25.93186476,-1.32483236,-24.6070324
1400000US37183053107,Wake,Urban,-4.91,13739,-0.06,-2.612285231,1.851508008,-5.976602326,19600,3.4,-19.80859636,-2.557813331,-17.25078303
1400000US37183053108,Wake,Rural,-6.16,13799,2.45,-1.204176587,-1.05336872,6.614702164,36600,0.4,-8.444359796,2.928737497,-11.37309729
1400000US37183053109,Wake,Rural,-0.87,6291,5.93,-0.488751608,-8.277180569,-7.595130851,14100,5.1,-9.236871449,-3.453190298,-5.783681151
1400000US37183053110,Wake,Rural,4.54,11989,4.55,2.766051555,-14.42068671,8.226987506,16300,5.7,-9.694744909,3.203792105,-12.89853701
1400000US37183053111,Wake,Urban,2.97,28130,-1.28,-8.018201071,-5.035847482,28.43339056,36600,-2.1,-18.76688722,0.185311291,-18.95219851
1400000US37183053201,Wake,Urban,-2.81,12156,0.38,0.414798943,-1.726793688,-45.00311419,47600,2.4,-15.57481921,0.076019134,-15.65083835
1400000US37183053202,Wake,Urban,4.21,23334,0.47,-0.908297483,-4.737615458,20.30162953,8300,7.1,-25.05591493,-2.669904755,-22.38601017
1400000US37183053203,Wake,Urban,2.45,21149,-0.81,0.912766545,-2.730241363,-18.21161863,26900,-3.1,-11.56558728,-3.032835985,-8.532751299
1400000US37183053204,Wake,Urban,-3.3,1382,-0.3,0.754061547,2.186662622,-64.15239432,20100,-2.7,-6.922021372,2.360640184,-9.282661556
1400000US37183053205,Wake,Urban,-6.5,17243,1.79,-3.145488244,2.702413832,29.10002353,39800,3,-18.81274171,1.018835679,-19.83157739
1400000US37183053206,Wake,Rural,-12.26,-1524,-1.02,-5.70340292,8.565989096,5.106582428,28400,2.2,-3.428133941,-2.500511716,-0.927622225
